"","share","group","subject","period","quantity"
"293",0.1,2,10,23,9.2
"294",0.1,2,10,24,9.4
"295",0.1,2,10,25,9.4
"296",0.1,2,10,26,8.2
"297",0.1,2,10,27,8.3
"298",0.1,2,10,28,8.3
"299",0.1,2,10,29,8
"300",0.1,2,10,30,10
"301",0.1,2,11,1,10
"302",0.1,2,11,2,10.5
"303",0.1,2,11,3,7
"304",0.1,2,11,4,10
"305",0.1,2,11,5,9
"306",0.1,2,11,6,10
"307",0.1,2,11,7,10
"308",0.1,2,11,8,10.2
"309",0.1,2,11,9,10
"310",0.1,2,11,10,10
"311",0.1,2,11,11,10
"312",0.1,2,11,12,10
"313",0.1,2,11,13,10
"314",0.1,2,11,14,10
"315",0.1,2,11,15,10
"316",0.1,2,11,16,10
"317",0.1,2,11,17,10
"318",0.1,2,11,18,10
"319",0.1,2,11,19,10
"320",0.1,2,11,20,10
"321",0.1,2,11,21,10
"322",0.1,2,11,22,10
"323",0.1,2,11,23,10
"324",0.1,2,11,24,10
"325",0.1,2,11,25,10
"326",0.1,2,11,26,10
"327",0.1,2,11,27,10
"328",0.1,2,11,28,10
"329",0.1,2,11,29,10
"330",0.1,2,11,30,10
"331",0.1,2,12,1,8
"332",0.1,2,12,2,8
"333",0.1,2,12,3,8
"334",0.1,2,12,4,8
"335",0.1,2,12,5,8
"336",0.1,2,12,6,8
"337",0.1,2,12,7,8
"338",0.1,2,12,8,8
"339",0.1,2,12,9,8
"340",0.1,2,12,10,8
"341",0.1,2,12,11,8
"342",0.1,2,12,12,8
"343",0.1,2,12,13,8
"344",0.1,2,12,14,8
"345",0.1,2,12,15,8
"346",0.1,2,12,16,8
"347",0.1,2,12,17,8
"348",0.1,2,12,18,8
"349",0.1,2,12,19,8
"350",0.1,2,12,20,8
"351",0.1,2,12,21,8
"352",0.1,2,12,22,8
"353",0.1,2,12,23,8
"354",0.1,2,12,24,8
"355",0.1,2,12,25,8
"356",0.1,2,12,26,8
"357",0.1,2,12,27,8
"358",0.1,2,12,28,8
"359",0.1,2,12,29,8
"360",0.1,2,12,30,8
"361",0.1,3,13,1,9.1
"362",0.1,3,13,2,9.5
"363",0.1,3,13,3,10.5
"364",0.1,3,13,4,7.5
"365",0.1,3,13,5,6.9
"366",0.1,3,13,6,9.8
"367",0.1,3,13,7,9.9
"368",0.1,3,13,8,9.5
"369",0.1,3,13,9,7.9
"370",0.1,3,13,10,7.6
"371",0.1,3,13,11,8.1
"372",0.1,3,13,12,8.9
"373",0.1,3,13,13,9.1
"374",0.1,3,13,14,9.1
"375",0.1,3,13,15,9.2
"376",0.1,3,13,16,9.1
"377",0.1,3,13,17,9.5
"378",0.1,3,13,18,9
"379",0.1,3,13,19,9.1
"380",0.1,3,13,20,8.9
"381",0.1,3,13,21,9
"382",0.1,3,13,22,9.1
"383",0.1,3,13,23,9.1
"384",0.1,3,13,24,9.1
"385",0.1,3,13,25,8.9
"386",0.1,3,13,26,9.2
"387",0.1,3,13,27,9.1
"388",0.1,3,13,28,9.7
"389",0.1,3,13,29,9.1
"390",0.1,3,13,30,9.1
"391",0.1,3,14,1,10.3
"392",0.1,3,14,2,9.5
"393",0.1,3,14,3,11
"394",0.1,3,14,4,12
"395",0.1,3,14,5,8
"396",0.1,3,14,6,9
"397",0.1,3,14,7,10
"398",0.1,3,14,8,13
"399",0.1,3,14,9,7
"400",0.1,3,14,10,8.2
"401",0.1,3,14,11,8.1
"402",0.1,3,14,12,8.6
"403",0.1,3,14,13,10.2
"404",0.1,3,14,14,6
"405",0.1,3,14,15,10.6
"406",0.1,3,14,16,10.9
"407",0.1,3,14,17,7.9
"408",0.1,3,14,18,9.1
"409",0.1,3,14,19,4
"410",0.1,3,14,20,5
"411",0.1,3,14,21,9.7
"412",0.1,3,14,22,7
"413",0.1,3,14,23,11.1
"414",0.1,3,14,24,9.7
"415",0.1,3,14,25,9.7
"416",0.1,3,14,26,9.7
"417",0.1,3,14,27,9.7
"418",0.1,3,14,28,9.7
"419",0.1,3,14,29,9.7
"420",0.1,3,14,30,9.7
"421",0.1,3,15,1,10
"422",0.1,3,15,2,8
"423",0.1,3,15,3,9
"424",0.1,3,15,4,10
"425",0.1,3,15,5,9.8
"426",0.1,3,15,6,9
"427",0.1,3,15,7,10
"428",0.1,3,15,8,9
"429",0.1,3,15,9,9
"430",0.1,3,15,10,9.9
"431",0.1,3,15,11,8
"432",0.1,3,15,12,7
"433",0.1,3,15,13,7
"434",0.1,3,15,14,8
"435",0.1,3,15,15,8
"436",0.1,3,15,16,10
"437",0.1,3,15,17,7
"438",0.1,3,15,18,7
"439",0.1,3,15,19,7.5
"440",0.1,3,15,20,7.5
"441",0.1,3,15,21,7.5
"442",0.1,3,15,22,7.5
"443",0.1,3,15,23,8
"444",0.1,3,15,24,8
"445",0.1,3,15,25,10
"446",0.1,3,15,26,8
"447",0.1,3,15,27,8.6
"448",0.1,3,15,28,9
"449",0.1,3,15,29,8.5
"450",0.1,3,15,30,8.5
"451",0.1,3,16,1,6.8
"452",0.1,3,16,2,10.2
"453",0.1,3,16,3,9.1
"454",0.1,3,16,4,7.7
"455",0.1,3,16,5,10.8
"456",0.1,3,16,6,9.9
"457",0.1,3,16,7,8.8
"458",0.1,3,16,8,11.1
"459",0.1,3,16,9,9.8
"460",0.1,3,16,10,10
"461",0.1,3,16,11,9.7
"462",0.1,3,16,12,9.5
"463",0.1,3,16,13,9.6
"464",0.1,3,16,14,9.9
"465",0.1,3,16,15,9.8
"466",0.1,3,16,16,10.1
"467",0.1,3,16,17,7.4
"468",0.1,3,16,18,9.4
"469",0.1,3,16,19,9.3
"470",0.1,3,16,20,9.1
"471",0.1,3,16,21,8.5
"472",0.1,3,16,22,9
"473",0.1,3,16,23,9.9
"474",0.1,3,16,24,9.6
"475",0.1,3,16,25,7.5
"476",0.1,3,16,26,7.2
"477",0.1,3,16,27,8.2
"478",0.1,3,16,28,6.8
"479",0.1,3,16,29,6.2
"480",0.1,3,16,30,6.9
"481",0.1,3,17,1,6.9
"482",0.1,3,17,2,8
"483",0.1,3,17,3,8.5
"484",0.1,3,17,4,9.5
"485",0.1,3,17,5,8.6
"486",0.1,3,17,6,8.5
"487",0.1,3,17,7,8.9
"488",0.1,3,17,8,9.4
"489",0.1,3,17,9,9.2
"490",0.1,3,17,10,9.4
"491",0.1,3,17,11,8
"492",0.1,3,17,12,9.3
"493",0.1,3,17,13,9
"494",0.1,3,17,14,9.7
"495",0.1,3,17,15,9.5
"496",0.1,3,17,16,9.6
"497",0.1,3,17,17,9.7
"498",0.1,3,17,18,9.7
"499",0.1,3,17,19,9.7
"500",0.1,3,17,20,9.8
"501",0.1,3,17,21,9.7
"502",0.1,3,17,22,9.6
"503",0.1,3,17,23,9.6
"504",0.1,3,17,24,9.5
"505",0.1,3,17,25,9.7
"506",0.1,3,17,26,9.7
"507",0.1,3,17,27,9.7
"508",0.1,3,17,28,9.8
"509",0.1,3,17,29,9.7
"510",0.1,3,17,30,6.3
"511",0.1,3,18,1,9.5
"512",0.1,3,18,2,9.5
"513",0.1,3,18,3,9.7
"514",0.1,3,18,4,9.6
"515",0.1,3,18,5,9.5
"516",0.1,3,18,6,9.3
"517",0.1,3,18,7,9.5
"518",0.1,3,18,8,9.5
"519",0.1,3,18,9,9.5
"520",0.1,3,18,10,9.7
"521",0.1,3,18,11,9.7
"522",0.1,3,18,12,9.8
"523",0.1,3,18,13,9.6
"524",0.1,3,18,14,9.5
"525",0.1,3,18,15,9.5
"526",0.1,3,18,16,9.8
"527",0.1,3,18,17,9.7
"528",0.1,3,18,18,9.7
"529",0.1,3,18,19,9.7
"530",0.1,3,18,20,9.7
"531",0.1,3,18,21,9.7
"532",0.1,3,18,22,9.7
"533",0.1,3,18,23,9.7
"534",0.1,3,18,24,9.7
"535",0.1,3,18,25,9.7
"536",0.1,3,18,26,9.7
"537",0.1,3,18,27,9.7
"538",0.1,3,18,28,9.7
"539",0.1,3,18,29,9.7
"540",0.1,3,18,30,9.8
"541",0.1,4,19,1,9
"542",0.1,4,19,2,9
"543",0.1,4,19,3,9.5
"544",0.1,4,19,4,9
"545",0.1,4,19,5,8.1
"546",0.1,4,19,6,10.5
"547",0.1,4,19,7,9
"548",0.1,4,19,8,9
"549",0.1,4,19,9,8.6
"550",0.1,4,19,10,8.5
"551",0.1,4,19,11,8.5
"552",0.1,4,19,12,8.3
"553",0.1,4,19,13,7.5
"554",0.1,4,19,14,7.5
"555",0.1,4,19,15,7.5
"556",0.1,4,19,16,8.3
"557",0.1,4,19,17,8.5
"558",0.1,4,19,18,8.3
"559",0.1,4,19,19,10.1
"560",0.1,4,19,20,8.5
"561",0.1,4,19,21,8.2
"562",0.1,4,19,22,8.3
"563",0.1,4,19,23,8.5
"564",0.1,4,19,24,8.2
"565",0.1,4,19,25,8
"566",0.1,4,19,26,8
